golpe,tipo_golpe
Americana,Shoulder Lock
Arm Triangle Choke,Choke
Armlock,Armlock
Baseball Bat Choke,Choke (Kimono)
Brabo Choke,Choke (Kimono)
Bread Cutter Choke,Choke (Kimono)
Cachecol Choke,Choke (Kimono)
Choke,Choke
Choke From Crucifix,Choke (Kimono)
Choke From Mount,Choke (Kimono)
Choke From The Back,Choke (Kimono)
Cross Choke,Choke (Kimono)
Darce Choke,Choke
Double Collar Choke,Choke (Kimono)
Estima Lock,Footlock
Ezekiel Choke,Choke (Kimono)
Flying Triangle,Choke
Footlock,Footlock
Guillotine,Choke
Katagatame,Choke
Kimura,Shoulder Lock
Lapel Choke,Choke (Kimono)
Leg Lock,Leg Lock
Loop Choke,Choke (Kimono)
Mounted Triangle,Choke
Omoplata,Shoulder Lock
Rear Naked Choke,Choke
Reverse Triangle,Choke
Shoulder Lock,Shoulder Lock
Toehold,Footlock
Triangle Arm Bar,Choke
Triangle Choke,Choke
Wrist Lock,Wrist Lock
Grand Total,
